Updated,09/11/2013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
58,0.282%,,,,40594.48512,,2463.388800,,,,,,,,,,,,,
2484,,-662,-1749,-2411,40257.3137,0.0100,2484.02069,0.00062,,,,,,,,,,,,
54,5.845%,,,,40257.26294,,2484.023818,,,,,,,,,,,,,
56,91.754%,,,,40257.31613,,2484.020536,,,,,,,,,,,,,
57,2.119%,,,,40257.34133,,2484.018981,,,,,,,,,,,,,
58,0.282%,,,,40257.36565,,2484.017480,,,,,,,,,,,,,
2523,,-652,-2326,-2978,39625.8037,0.0050,2523.60812,0.00032,,,,,,,,,,,,
54,5.845%,,,,39625.74097,,2523.612116,,,,,,,,,,,,,
56,91.754%,,,,39625.80666,,2523.607932,,,,,,,,,,,,,
57,2.119%,,,,39625.83778,,2523.605950,,,,,,,,,,,,,
58,0.282%,,,,39625.86783,,2523.604036,,,,,,,,,,,,,
2719,,-605,-471,-1076,36766.9665,0.0050,2719.83276,0.00037,,,,,,,,,,,,
54,5.845%,,,,36766.94381,,2719.834439,,,,,,,,,,,,,
56,91.754%,,,,36766.96755,,2719.832683,,,,,,,,,,,,,
57,2.119%,,,,36766.97879,,2719.831851,,,,,,,,,,,,,
58,0.282%,,,,36766.98965,,2719.831048,,,,,,,,,,,,,
2967,,-554,-2287,-2841,33695.3973,0.0050,2967.76439,0.00044,,,,,,,,,,,,
54,5.845%,,,,33695.33745,,2967.769655,,,,,,,,,,,,,
56,91.754%,,,,33695.40013,,2967.764135,,,,,,,,,,,,,
57,2.119%,,,,33695.42982,,2967.761520,,,,,,,,,,,,,
58,0.282%,,,,33695.45848,,2967.758995,,,,,,,,,,,,,
2984,,-551,-1529,-2080,33507.1232,0.0050,2984.44003,0.00045,,,,,,,,,,,,
54,5.845%,,,,33507.07946,,2984.443933,,,,,,,,,,,,,
56,91.754%,,,,33507.12535,,2984.439846,,,,,,,,,,,,,
57,2.119%,,,,33507.14708,,2984.437910,,,,,,,,,,,,,
58,0.282%,,,,33507.16807,,2984.436041,,,,,,,,,,,,,
3021,,-544,-1568,-2112,33095.9412,0.0050,3021.51854,0.00046,,,,,,,,,,,,
54,5.845%,,,,33095.89676,,3021.522599,,,,,,,,,,,,,
56,91.754%,,,,33095.94335,,3021.518346,,,,,,,,,,,,,
57,2.119%,,,,33095.96542,,3021.516331,,,,,,,,,,,,,
58,0.282%,,,,33095.98673,,3021.514385,,,,,,,,,,,,,
3441,,-478,-792,-1270,29056.3229,0.0050,3441.59170,0.00059,,,,,,,,,,,,
54,5.845%,,,,29056.29621,,3441.594871,,,,,,,,,,,,,
56,91.754%,,,,29056.32423,,3441.591552,,,,,,,,,,,,,
57,2.119%,,,,29056.33750,,3441.589980,,,,,,,,,,,,,
58,0.282%,,,,29056.35031,,3441.588462,,,,,,,,,,,,,
3720,,-442,-734,-1176,26874.5498,0.0050,3720.99257,0.00069,,,,,,,,,,,,
54,5.845%,,,,26874.52504,,3720.995993,,,,,,,,,,,,,
56,91.754%,,,,26874.55099,,3720.992401,,,,,,,,,,,,,
57,2.119%,,,,26874.56328,,3720.990699,,,,,,,,,,,,,
58,0.282%,,,,26874.57514,,3720.989056,,,,,,,,,,,,,
3861,,-426,-766,-1192,25899.9887,0.0050,3861.00554,0.00075,,,,,,,,,,,,
54,5.845%,,,,25899.96364,,3861.009281,,,,,,,,,,,,,
56,91.754%,,,,25899.98994,,3861.005361,,,,,,,,,,,,,
57,2.119%,,,,25900.00240,,3861.003504,,,,,,,,,,,,,
58,0.282%,,,,25900.01442,,3861.001711,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],Isotopic shifts measured by Krins:2009:062508,,,,w [/cm],err(w) [/cm],l [Ang.],dl [Ang.],,,,,,,,,,,
,,dnu(56) [MHz],err[dnu(56)] [MHz],dw [/cm],err(dw) [/cm],,,,,,,,,,,,,,,
3720,,,,,Composite,26874.5498,0.0050,3720.99257,0.00069,,,,,,,,,,,
54,5.845%,-726.5,7.7,-0.02423,0.00026,26874.5267,0.0050,3720.99577,0.00069,,,,,,,,,,,
56,91.754%,,,,0.00000,26874.5509,0.0050,3720.99241,0.00069,,,,,,,,,,,
57,2.119%,365.1,5.7,0.01218,0.00019,26874.5631,0.0050,3720.99073,0.00069,,,,,,,,,,,
58,0.282%,689.9,7.3,0.02301,0.00024,26874.5739,0.0050,3720.98923,0.00069,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine structure,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hyperfine constants,,,,,,,,,,,,,,,,,,,,
Level,Constant [MHz],Uncertainty,Reference/note,,,,,,,,,,,,,,,,,
5d4,38.0795,0.0010,"Magnetic dipole (A), experiment – Childs:1966:74",,,,,,,,,,,,,,,,,
5f5,81.69,0.86,"A, experiment – Krins:2009:062508.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Energy levels,,,,,,,,,,,,,,,,,,,,
J,F,I,K,C,DE_M1 [MHz],eDE_M1 [MHz],DE_E2 [MHz],eDE_E2 [MHz],DE [MHz],eDE [MHz],,,,,,,,,,
5,5.5,0.5,5,,204.2,2.2,,,204.2,2.2,,,,,,,,,,
5,4.5,0.5,-6,,-245.1,2.6,,,-245.1,2.6,,,,,,,,,,
4,4.5,0.5,4,,76.1590,0.0020,,,76.1590,0.0020,,,,,,,,,,
4,3.5,0.5,-5,,-95.1988,0.0025,,,-95.1988,0.0025,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
57FeI3720 isotopic+hyperfine structure,,,,,,,,,,,,,,,,,,,,
F_low,F_up,nu [MHz],enu [MHz],w [cm-1],ew cm-1],l [Ang],el [Ang],Comment,6JSymbol^2,(2F_low+1)(2F_hi+1)*6JSymbol^2,Relative intensity,,,,,,,,,
3.5,4.5,805678982,150,26874.5581,0.0050,3720.99142,0.00069,,0.0111,0.8889,0.44444,,,,,,,,,
4.5,5.5,805679260,150,26874.5673,0.0050,3720.99014,0.00069,,0.0091,1.0909,0.54545,,,,,,,,,
4.5,4.5,805678811,150,26874.5524,0.0050,3720.99221,0.00069,,0.0002,0.0202,0.01010,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Transition/isotope,Isotopic abundance [%] [Rosman:1998:1275],w [cm-1],ew [cm-1],wl [Ang.],ewl [Ang.],,,,,,,,,,,,,,,
3720,Composite,26874.5498,0.0050,3720.99257,0.00069,,,,,,,,,,,,,,,
54,5.845%,26874.5267,0.0050,3720.99577,0.00069,,,,,,,,,,,,,,,
56,91.754%,26874.5509,0.0050,3720.99241,0.00069,,,,,,,,,,,,,,,
57,0.942%,26874.5581,0.0050,3720.99142,0.00069,,,,,,,,,,,,,,,
57,1.156%,26874.5673,0.0050,3720.99014,0.00069,,,,,,,,,,,,,,,
57,0.021%,26874.5524,0.0050,3720.99221,0.00069,,,,,,,,,,,,,,,
58,0.282%,26874.5739,0.0050,3720.98923,0.00069,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,,,,,,,
Childs:1966:74,http://adsabs.harvard.edu/abs/1966PhRv..148...74C,,,,,,,,,,,,,,,,,,,
Krins:2009:062508,http://adsabs.harvard.edu/abs/2009PhRvA..80f2508K,,,,,,,,,,,,,,,,,,,
Nave:1994:221,http://adsabs.harvard.edu/abs/1994ApJS...94..221N,,,,,,,,,,,,,,,,,,,
Nave:2011:737,http://adsabs.harvard.edu/abs/2011JOSAB..28..737N,,,,,,,,,,,,,,,,,,,
Porsev:2009:032519,http://adsabs.harvard.edu/abs/2009PhRvA..79c2519P,,,,,,,,,,,,,,,,,,,
Rosman:1998:1275,http://adsabs.harvard.edu/abs/1998JPCRD..27.1275R,,,,,,,,,,,,,,,,,,,
