Summary,,,,,,,,,,,,,,,,,,,,
Ion,Tran.,Type,A,w [/cm],dw [/cm],X,Ref.,l [Angstroms],dl [Angstroms],dv [m/s],Lower state,Upper state,ID,IP- [eV],IP+ [eV],f or %,Gamma [/s],q [/cm],dq [/cm],q ref.
,,ISO,57; 56.9353940,42658.25768,,3,Porsev:2009:032519,2344.2120103,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,42658.24546,,3,Porsev:2009:032519,2344.2126822,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,42658.21964,,3,Porsev:2009:032519,2344.2141007,,,,,,,,5.845%,,,,
,2367,CMP,55.845,42237.0563,0.0019,0,Nave:2012:1570,2367.58924,0.00011,13.5,,3\rm{d}^64\rm{p~z}^6\rm{F}_{7/2}^{\rm o},Fe^2_15,,,0.0000216,3.07E+08,1803,200,Berengut:2006:PhD
,,ISO,58; 57.9332756,42237.08770,,3,Porsev:2009:032519,2367.587479,,,,,,,,0.282%,,,,
,,ISO,57; 56.9353940,42237.07300,,3,Porsev:2009:032519,2367.588303,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,42237.05777,,3,Porsev:2009:032519,2367.589157,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,42237.02563,,3,Porsev:2009:032519,2367.590959,,,,,,,,5.845%,,,,
,2374,CMP,55.845,42114.8376,0.0014,0,"Aldenius:2009:014008,Nave:2012:1570",2374.460064,0.000078,9.8,,3\rm{d}^64\rm{p~z}^6\rm{F}_{9/2}^{\rm o},Fe^2_6,,,0.03130,3.09E+08,1625,100,"Dzuba:2002:022501,Porsev:2009:032519"
,,ISO,58; 57.9332756,42114.86890,,3,Porsev:2009:032519,2374.4582998,,,,,,,,0.282%,,,,
,,ISO,57; 56.9353940,42114.85425,,3,Porsev:2009:032519,2374.4591258,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,42114.83907,,3,Porsev:2009:032519,2374.4599813,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,42114.80704,,3,Porsev:2009:032519,2374.4617873,,,,,,,,5.845%,,,,
,2382,CMP,55.845,41968.0674,0.0014,0,"Aldenius:2009:014008,Nave:2012:1570",2382.763995,0.000080,10.1,,3\rm{d}^64\rm{p~z}^6\rm{F}_{11/2}^{\rm o},Fe^2_1,,,0.320,3.13E+08,1505,100,"Dzuba:2002:022501,Porsev:2009:032519"
,,ISO,58; 57.9332756,41968.09852,,3,Porsev:2009:032519,2382.7622294,,,,,,,,0.282%,,,,
,,ISO,57; 56.9353940,41968.08396,,3,Porsev:2009:032519,2382.7630560,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,41968.06888,,3,Porsev:2009:032519,2382.7639122,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,41968.03705,,3,Porsev:2009:032519,2382.7657196,,,,,,,,5.845%,,,,
,2586,CMP,55.845,38660.0532,0.0013,0,"Aldenius:2009:014008,Nave:2012:1570",2586.649312,0.000087,10.0,,3\rm{d}^64\rm{p~z}^6\rm{D}_{7/2}^{\rm o},Fe^2_4,,,0.0691,2.72E+08,1515,100,"Dzuba:2002:022501,Porsev:2009:032519"
,,ISO,58; 57.9332756,38660.07931,,3,Porsev:2009:032519,2586.6475648,,,,,,,,0.282%,,,,
,,ISO,57; 56.9353940,38660.06708,,3,Porsev:2009:032519,2586.6483830,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,38660.05441,,3,Porsev:2009:032519,2586.6492304,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,38660.02768,,3,Porsev:2009:032519,2586.6510194,,,,,,,,5.845%,,,,
,2600,CMP,55.845,38458.9926,0.0013,0,"Aldenius:2009:014008,Nave:2012:1570",2600.172114,0.000088,10.1,,3\rm{d}^64\rm{p~z}^6\rm{D}_{9/2}^{\rm o},Fe^2_2,,,0.239,2.70E+08,1370,100,"Dzuba:2002:022501,Porsev:2009:032519"
,,ISO,58; 57.9332756,38459.01850,,3,Porsev:2009:032519,2600.1703603,,,,,,,,0.282%,,,,
,,ISO,57; 56.9353940,38459.00636,,3,Porsev:2009:032519,2600.1711816,,,,,,,,2.119%,,,,
,,ISO,56; 55.9349375,38458.99377,,3,Porsev:2009:032519,2600.1720322,,,,,,,,91.754%,,,,
,,ISO,54; 53.9396105,38458.96721,,3,Porsev:2009:032519,2600.1738281,,,,,,,,5.845%,,,,
END,,,,,,,,,,,,,,,,,,,,
